d,n_sens,price_ms,method,budget_mb,chunk,ms,q25_ms,q75_ms,runs,x_price
20,230,2.8922000019520056,price,,,2.8922000019520056,2.720075000979705,3.1612750008207513,100,1.0
20,230,2.8922000019520056,rev,,,10.028099999544793,9.720525000375346,10.499574999812467,100,3.4672913328181387
20,230,2.8922000019520056,loop,,,1288.3318000021973,1254.2860000012297,1293.9783500005433,3,445.4504526425128
20,230,2.8922000019520056,vec,16,1,2014.1247999999905,2008.0199000003631,2018.7953999993624,3,696.398865445203
20,230,2.8922000019520056,vec,64,4,2013.2045999998809,2003.4215499999846,2020.206049999615,3,696.0806993434505
20,230,2.8922000019520056,vec,256,16,2757.9153000006045,2755.916200001593,2758.450350000203,3,953.5700498372279
20,230,2.8922000019520056,fwd,16,1,583.8779500008968,582.6591000004555,590.9201250005935,4,201.8802121591956
20,230,2.8922000019520056,fwd,64,4,831.5140999984578,830.7203500007745,842.9486499990162,3,287.5022818052872
20,230,2.8922000019520056,fwd,256,16,952.147200001491,951.8737500002317,955.3551000008156,3,329.2120874624394
50,1325,6.4433500010636635,price,,,6.4433500010636635,6.177124999339867,6.71357499959413,100,1.0
50,1325,6.4433500010636635,rev,,,26.97950000219862,25.79619999960414,27.697499999703723,75,4.187185237142924
50,1325,6.4433500010636635,loop,,,17118.183400001726,17084.720200000447,17297.553650001646,3,2656.7210220112006
50,1325,6.4433500010636635,vec,16,1,29690.83479999972,29648.157999999967,29707.580999998754,3,4607.981064989233
50,1325,6.4433500010636635,vec,64,1,29690.83479999972,29648.157999999967,29707.580999998754,3,4607.981064989233
50,1325,6.4433500010636635,vec,256,6,31494.874999996682,31444.684149999375,31520.17644999796,3,4887.965886502756
50,1325,6.4433500010636635,fwd,16,1,8878.692700000101,8838.012199999866,8880.30609999987,3,1377.9621933519695
50,1325,6.4433500010636635,fwd,64,1,8878.692700000101,8838.012199999866,8880.30609999987,3,1377.9621933519695
50,1325,6.4433500010636635,fwd,256,6,11166.365300003235,11162.544300002992,11167.7498500012,3,1733.0061688655592
