part,N,M,B,pipeline,program,flops,total_mb,ms,q25_ms,q75_ms,runs,iqr_pct,noisy
basket,100000,,,one-shot,rng,715000000.0,80.000768,117.10650000168243,115.77670000406215,121.8172999942908,17,5.15821068014318,False
basket,100000,,,one-shot,price,1243141248.0,80.072576,130.14805000057095,128.7136750015634,130.6480500006728,16,1.4862881150358664,False
basket,100000,,,one-shot,grad,1793953536.0,163.251328,185.9794999982114,185.30760000066948,186.71379999796045,11,0.7561048380625244,False
basket,100000,,1000,chunked,rng,715001141.0,1.20192,129.91989999864018,129.4576499985851,131.29462499819056,16,1.4139288897425815,False
basket,100000,,1000,chunked,price,1243157301.0,1.222944,145.47099999981583,144.92077499744482,146.20764999926905,14,0.8846264903835522,False
basket,100000,,1000,chunked,grad,1793984748.0,2.110152,224.51659999933327,216.0312999985763,229.7067000035895,9,6.091041822766703,False
basket,100000,,10000,chunked,rng,715000200.0,12.001216,95.14629999466706,94.08629999961704,96.23719999945024,21,2.2606239022996775,False
basket,100000,,10000,chunked,price,1243142680.0,12.02224,111.81425000177114,110.68565000277886,113.04297499918903,18,2.108250957613033,False
basket,100000,,10000,chunked,grad,1793960912.0,20.253192,151.1616000025242,149.6923249997053,152.25907499916502,14,1.6980172209191058,False
basket,100000,,100000,chunked,rng,715000064.0,80.000832,116.77590000181226,116.21067499436322,117.28932499863731,18,0.9236923065952442,False
basket,100000,,100000,chunked,price,1243140736.0,80.031232,133.66284999938216,132.94589999895834,135.21027499700722,16,1.6940945057353978,False
basket,100000,,100000,chunked,grad,1793957632.0,161.651392,185.73740000283578,184.69004999860772,187.1206499999971,11,1.3086217430373657,False
