part,N,M,method,B,input_mb,flops,transcendentals,bytes,temp_mb,total_mb,ref,flops_x,transc_x,max_rel_diff_vs_oneshot,block
basket,10000,,"price, one-shot",,4.0,60371208.0,500002.0,71309088.0,4.080016,8.080016,"price, one-shot",1.0,1.0,,
basket,10000,,one-shot,,4.0,115733552.0,500002.0,166340384.0,16.29128,20.29128,"price, one-shot",1.9170322382815332,1.0,,
basket,10000,,"price, chunked B=10,000",10000,0.0,123530208.0,1500000.0,,8.00128,8.00128,"price, chunked B=10,000",1.0,1.0,,
basket,10000,,"chunked B=10,000",10000,0.0,186738608.0,1500000.0,,16.211392,16.211392,"price, chunked B=10,000",1.511683749451794,1.0,1.1250069424555014e-12,
basket,10000,,"price, chunked B=1,000",1000,0.0,123531672.0,1500000.0,,1.202144,1.202144,"price, chunked B=1,000",1.0,1.0,,
basket,10000,,"chunked B=1,000",1000,0.0,186740988.0,1500000.0,,2.109448,2.109448,"price, chunked B=1,000",1.5116851004817615,1.0,4.3283354122901695e-13,
basket,10000,,"chunked B=1,000, Cholesky per batch",1000,0.0,260118408.0,1500020.0,,2.126216,2.126216,"price, chunked B=1,000",2.1056819177514248,1.0000133333333334,3.7531133064549925e-13,
basket,100000,,"price, one-shot",,40.0,533141216.0,5000002.0,690508992.0,40.800016,80.800016,"price, one-shot",1.0,1.0,,
basket,100000,,one-shot,,40.0,1083953536.0,5000002.0,1626139904.0,162.45128,202.45128,"price, one-shot",2.033145259585408,1.0,,
basket,100000,,"price, chunked B=10,000",10000,0.0,1235301720.0,15000000.0,,12.002144,12.002144,"price, chunked B=10,000",1.0,1.0,,
basket,100000,,"chunked B=10,000",10000,0.0,1793960912.0,15000000.0,,20.253192,20.253192,"price, chunked B=10,000",1.4522451340875653,1.0,1.8968825352428726e-12,
basket,100000,,"price, chunked B=1,000",1000,0.0,1235316342.0,15000000.0,,1.202848,1.202848,"price, chunked B=1,000",1.0,1.0,,
basket,100000,,"chunked B=1,000",1000,0.0,1793984748.0,15000000.0,,2.110152,2.110152,"price, chunked B=1,000",1.4522472398410156,1.0,5.901580862157006e-12,
basket,100000,,"chunked B=1,000, Cholesky per batch",1000,0.0,2601159888.0,15000200.0,,2.12692,2.12692,"price, chunked B=1,000",2.1056629784308316,1.0000133333333334,5.710145931682459e-12,
basket,1000000,,"price, one-shot",,400.0,5260840448.0,50000000.0,6882508800.0,408.000016,808.000016,"price, one-shot",1.0,1.0,,
basket,1000000,,one-shot,,400.0,10766151680.0,50000000.0,16224141312.0,1624.05128,2024.05128,"price, one-shot",2.0464699103530006,1.0,,
basket,1000000,,"price, chunked B=10,000",10000,0.0,12353016840.0,150000000.0,,12.002848,12.002848,"price, chunked B=10,000",1.0,1.0,,
basket,1000000,,"chunked B=10,000",10000,0.0,17866183952.0,150000000.0,,20.253896,20.253896,"price, chunked B=10,000",1.446301270645722,1.0,2.37389372780487e-12,
basket,1000000,,"price, chunked B=1,000",1000,0.0,12353163042.0,150000000.0,,1.210016,1.210016,"price, chunked B=1,000",1.0,1.0,,
basket,1000000,,"chunked B=1,000",1000,0.0,17866422348.0,150000000.0,,2.11732,2.11732,"price, chunked B=1,000",1.4463034517762985,1.0,1.1850190883181572e-12,
basket,1000000,,"chunked B=1,000, Cholesky per batch",1000,0.0,26011574688.0,150002000.0,,2.134088,2.134088,"price, chunked B=1,000",2.105661084498135,1.0000133333333334,1.0057069894279097e-12,
