part,N,M,stream,price,se,z_vs_before
basket,10000,,before,9.371107515317563,0.13024802825493148,
basket,10000,,after,9.526441639189166,0.13005490824005747,0.8439227278005653
basket,100000,,before,9.624412105466066,0.04183818042021518,
basket,100000,,after,9.65147053329101,0.0417228443425696,0.4579450678606732
basket,1000000,,before,9.670426893875584,0.013266636503886351,
basket,1000000,,after,9.623768401375843,0.013209542516025026,-2.492237245508995
asian,100000,12,before,6.129343314232375,0.026818644238869115,
asian,100000,12,after,6.1595454209446645,0.026932767353953384,0.7946234599179239
asian,100000,52,before,5.888071823789869,0.025780912314804495,
asian,100000,52,after,5.8462218941939605,0.025709832491988816,-1.1494236847708592
asian,100000,252,before,5.751044680074946,0.025145557164967743,
asian,100000,252,after,5.791859719414126,0.025372728070713505,1.142568444758297
asian,100000,1000,before,5.7750892613806375,0.025152124757159892,
asian,100000,1000,after,5.746908402541758,0.025192316755298712,-0.7916214555497383
