part,N,M,B,pipeline,program,flops,total_mb,ms,q25_ms,q75_ms,runs,iqr_pct,noisy
basket,1000000,,,one-shot,rng,7149987328.0,800.000768,362.53339999893797,356.8053750004765,364.08797500007495,10,2.0088080159289583,False
basket,1000000,,,one-shot,price,12360827904.0,800.072576,379.1991500002041,378.9971500009415,384.9701500039373,10,1.575161759458748,False
basket,1000000,,,one-shot,grad,17866139648.0,1632.051328,556.9764500032761,554.4621749995713,565.9005750003416,10,2.0536595399505786,False
basket,1000000,,1000,chunked,rng,7150011041.0,1.209088,1331.9592000043485,1322.7661000018998,1337.7205999968282,10,1.1227446002009416,False
basket,1000000,,1000,chunked,price,12361004001.0,1.230112,2339.2507000062324,2207.6376999975764,2406.8971750039054,10,8.518089788571961,False
basket,1000000,,1000,chunked,grad,17866422348.0,2.11732,1641.5607499984617,1496.7018499955884,1714.7814499985543,10,13.284893660083567,False
basket,1000000,,10000,chunked,rng,7150001640.0,12.00192,329.3424999974377,325.90964999872085,336.082499998156,10,3.0888360899411023,False
basket,1000000,,10000,chunked,price,12360857800.0,12.022944,328.47749999928055,313.37422499927925,334.75232499949925,10,6.508238768337809,False
basket,1000000,,10000,chunked,grad,17866183952.0,20.253896,572.8798000018287,536.463399996137,576.5019749978819,10,6.9890010088708125,False
basket,1000000,,100000,chunked,rng,7150000064.0,120.001216,301.90439999933005,300.37362500479503,302.9189749959187,10,0.8430980108700986,False
basket,1000000,,100000,chunked,price,12360839296.0,120.02224,329.0927499983809,328.4079000004567,330.2970250006183,10,0.5740402972021956,False
basket,1000000,,100000,chunked,grad,17866150144.0,201.693192,472.72870000233524,471.04592499999853,475.7869250006479,10,1.0029008182972483,False
asian,100000,12,,one-shot,rng,171600000.0,19.200768,6.569400000444148,6.446499999583466,6.74987499769486,100,4.618001614925008,False
asian,100000,12,,one-shot,price,175600000.0,21.601024,6.278349999774946,6.1557000008178875,6.408524999642395,100,4.0269338095768905,False
asian,100000,12,,one-shot,grad,182300016.0,32.001152,11.138500001834473,10.960624998915591,11.325850000503124,100,3.2789424206794555,False
asian,100000,12,10000,chunked,rng,171602036.0,0.721664,49.19359999985318,43.500274998223176,51.69220000243513,100,16.652420242138007,False
asian,100000,12,10000,chunked,price,175502080.0,0.962008,64.32375000076718,60.314950000247336,65.25115000113146,72,7.673992888824508,False
asian,100000,12,10000,chunked,grad,182102040.0,3.681648,114.39015000360087,103.27187500115542,123.33419999959006,30,17.538507465724187,False
asian,100000,12,10000,chunked,grad + ckpt,356203960.0,1.522688,145.07695000065723,140.62919999923906,148.8521250012127,30,5.667974824351066,False
asian,100000,52,,one-shot,rng,743600000.0,83.200768,32.79079999629175,32.269499999529216,33.105099995736964,61,2.5482757246003267,False
asian,100000,52,,one-shot,price,759600000.0,85.601024,35.68269999959739,35.14800000266405,36.322799998742994,57,3.292351744941389,False
asian,100000,52,,one-shot,grad,786300032.0,128.001152,56.79940000118222,56.20927500058315,57.68070000158332,36,2.590564338654184,False
asian,100000,52,10000,chunked,rng,743606288.0,0.961728,111.46129999542609,104.81615000026068,123.52619999728631,35,16.78614012019725,False
asian,100000,52,10000,chunked,price,759506432.0,1.202072,254.0123999970092,230.97347499970056,260.963750000883,30,11.806618496394494,False
asian,100000,52,10000,chunked,grad,786106360.0,10.561712,355.6995500002813,319.13294999867503,373.4102999987954,30,15.259324899364485,False
asian,100000,52,10000,chunked,grad + ckpt,1540212672.0,2.562752,573.5786000004737,529.9039500023355,576.7849750009191,30,8.173426449059447,False
asian,100000,252,,one-shot,rng,3603607040.0,403.200768,159.10264999911305,158.32462499565736,161.13577499891107,30,1.7668781778740872,False
asian,100000,252,,one-shot,price,3679607040.0,405.601024,183.26969999907305,179.47129999811295,190.19419999676757,30,5.850885333859796,False
asian,100000,252,,one-shot,grad,3806306816.0,608.001152,274.8719000010169,271.68049999454524,278.59955000167247,30,2.5171907376132765,False
asian,100000,252,10000,chunked,rng,3603608032.0,3.361792,411.34319999764557,401.3182750022679,436.63529999867023,30,8.58578068061037,False
asian,100000,252,10000,chunked,price,3679464320.0,3.602136,663.0427500022051,622.7653750011086,712.2825999958877,30,13.500973352695793,False
asian,100000,252,10000,chunked,grad,3805861760.0,47.361776,668.701049999072,644.5311750012479,690.2949499999522,30,6.843682240183088,False
asian,100000,252,10000,chunked,grad + ckpt,7459852160.0,6.162816,1480.183899999247,1410.2502249988902,1505.354000004445,30,6.425132377510873,False
asian,100000,1000,,one-shot,rng,14299974656.0,1600.000768,629.4041500041203,622.6657749994047,633.2339749988023,30,1.679080126708481,False
asian,100000,1000,,one-shot,price,14600375296.0,1602.401024,695.5983500010916,693.080099999861,701.3413750046311,30,1.1876501726545465,False
asian,100000,1000,,one-shot,grad,15101074432.0,2403.201152,1100.880749996577,1096.4113750032993,1106.8756750009925,30,0.9505389205620771,False
asian,100000,1000,10000,chunked,rng,14300018048.0,6.00192,1714.186350000091,1668.2679499972437,1831.1972999999853,30,9.504763003318333,False
asian,100000,1000,10000,chunked,price,14599795200.0,6.242264,2146.123450002051,2002.9377249993559,2293.0224499996257,30,13.516684000633449,False
asian,100000,1000,10000,chunked,grad,15099594240.0,172.321904,1822.140299998864,1803.899824999462,1846.4590999992652,30,2.3356749751832884,False
asian,100000,1000,10000,chunked,grad + ckpt,29599226880.0,11.442944,5197.999050000362,4996.903274997749,5280.850850000206,30,5.462632298911979,False
