greek,method,best_or_tied,best_or_tied_itm,best_or_tied_atm_otm,n_cells,n_itm,median_ratio,worst_ratio,worst_cell
gamma,"FD, CRN",8,3,5,20,8,1.3067988192357842,3.5464014478547834,"K=90, T=0.25"
gamma,LR,0,0,0,20,8,6.434377639913439,157.43012408524226,"K=80, T=0.1"
gamma,LR (parity),0,0,0,20,8,2.5719697855907655,6.496626074126938,"K=90, T=0.25"
gamma,Pathwise-LR,6,0,6,20,8,1.733122837518675,28.423929450227714,"K=80, T=0.1"
gamma,Pathwise-LR (parity),17,6,11,20,8,1.0,2.9340726016973995,"K=90, T=0.25"
gamma,Smoothed AD,6,4,2,20,8,1.2190824012843364,2.4291758073299374,"K=110, T=2"
digital delta,"FD, CRN",7,4,3,20,8,1.2850276654175885,1.9874091258387192,"K=90, T=0.25"
digital delta,Smoothed AD,7,5,2,20,8,1.1816992968497075,1.9861424152190206,"K=90, T=2"
digital delta,LR,11,0,11,20,8,1.1018593214669943,22.645526621659176,"K=80, T=0.1"
digital delta,LR (parity),15,4,11,20,8,1.0002800789736637,1.677159518635125,"K=90, T=0.25"
