greek,K,T,exact,method,rmse,ci_lo,ci_hi,bias,std,ratio_to_best,ratio_ci_lo,ratio_ci_hi,best,tie_with_best,width_out,width_in,rmse_in_sample,width_at_grid_edge,grid_extended,width_base,rmse_base,lr_over_pwlr,lr_over_pwlr_lo,lr_over_pwlr_hi,parity_over_plain,parity_over_plain_lo,parity_over_plain_hi,parity_leg
gamma,80.0,0.1,8.404694579687516e-05,"FD, CRN",3.7411479830308494e-05,3.319934956664189e-05,4.181062636598772e-05,1.9333644165503242e-05,3.210893872593441e-05,1.010067453621258,0.9733635882256584,1.05135545857781,False,True,2.5118864315095824,2.5118864315095824,3.7411479830308494e-05,False,False,,,5.538647440035108,4.923284290272053,6.230796256996721,,,,
gamma,80.0,0.1,8.404694579687516e-05,LR,0.005830990683624625,0.005334657463377816,0.006297814970375159,-0.00046388815532262805,0.005827094928728258,157.43012408524226,135.25485932747,183.6980639562806,False,False,,,,,,,,5.538647440035108,4.923284290272053,6.230796256996721,,,,
gamma,80.0,0.1,8.404694579687516e-05,LR (parity),6.632716443955273e-05,5.833174720229525e-05,7.39520861999358e-05,-7.788413357437787e-07,6.648902239664466e-05,1.790758088032174,1.51248993396904,2.1241960710552705,False,False,,,,,,,,5.538647440035108,4.923284290272053,6.230796256996721,0.011374939189291045,0.00977988130121757,0.013167403788121536,put
gamma,80.0,0.1,8.404694579687516e-05,Pathwise-LR,0.0010527824250874621,0.0009646277812909807,0.001140602175935241,7.542314666306934e-05,0.0010527123061492484,28.423929450227714,24.2752208369393,33.59292974513304,False,False,,,,,,,,5.538647440035108,4.923284290272053,6.230796256996721,,,,
gamma,80.0,0.1,8.404694579687516e-05,Pathwise-LR (parity),4.779629036178317e-05,4.1256676874253275e-05,5.4540220208863795e-05,1.4466569328377098e-06,4.789427800263333e-05,1.290445540172328,1.1412727782297323,1.4402289022975887,False,False,,,,,,,,5.538647440035108,4.923284290272053,6.230796256996721,0.045399969853991806,0.03823956485817239,0.05340100724687256,put
gamma,80.0,0.1,8.404694579687516e-05,Smoothed AD,3.703859548803615e-05,3.258650255514188e-05,4.1632933408215504e-05,1.468563137247556e-05,3.408811795695636e-05,1.0,1.0,1.0,True,False,0.3981071705534973,0.3981071705534973,3.703859548803615e-05,False,False,,,5.538647440035108,4.923284290272053,6.230796256996721,,,,
digital delta,80.0,0.1,0.00010505868224609393,"FD, CRN",4.833438467466346e-05,4.32006676008029e-05,5.379866383802408e-05,1.9404735817826485e-05,4.43792356004597e-05,1.051143665495228,0.9772930459470981,1.1318855862179542,False,True,1.584893192461114,1.584893192461114,4.833438467466346e-05,False,False,,,,,,,,,
digital delta,80.0,0.1,0.00010505868224609393,Smoothed AD,4.598266275228093e-05,4.055625914666694e-05,5.178858262442161e-05,1.7755239332007238e-05,4.252290839943667e-05,1.0,1.0,1.0,True,False,0.3981071705534973,0.3981071705534973,4.598266275228093e-05,False,False,,,,,,,,,
digital delta,80.0,0.1,0.00010505868224609393,LR,0.0010413016134915535,0.0009532864846528543,0.0011287501767815282,7.95171573296018e-05,0.0010408665079573213,22.645526621659176,19.356958426204343,26.447111973449342,False,False,,,,,,,,,,,,,,
digital delta,80.0,0.1,0.00010505868224609393,LR (parity),5.977885101661108e-05,5.196842402017092e-05,6.781751317902781e-05,1.7802342463980577e-06,5.99022805154268e-05,1.3000302165764814,1.1444359859971223,1.456646074786415,False,False,,,,,,,,,,,0.05740781560509507,0.04852663181803923,0.06769026321232843,put
