d,group,P,reps,mean_z2,mean_z2_lo,mean_z2_hi,share_gt2,share_gt2_lo,share_gt2_hi,mean_z,mean_z_lo,mean_z_hi,fwer_3,fwer_3_lo,fwer_3_hi,fwer_3_indep,fwer_4,fwer_4_lo,fwer_4_hi,fwer_4_indep
2,price,1,200,0.986117152425179,0.8179374524096997,1.161521514336223,0.035,0.01,0.06,0.05244377179389383,-0.07443045582407032,0.19040487803980158,,,,,,,,
2,delta,2,200,1.066277787157568,0.8514613296327374,1.3154946098611517,0.06,0.03,0.1,0.03306176182973693,-0.102578343959672,0.17282756729078794,,,,,,,,
2,vega,2,200,0.9203837758929363,0.7870372209587286,1.0631768535046828,0.035,0.0175,0.055,0.03692252991204037,-0.05249264904046041,0.12589836394816847,,,,,,,,
2,corr,1,200,0.9890376884362108,0.8008439515345871,1.1789067066881582,0.05,0.025,0.08,0.041718266500945934,-0.09295919565014929,0.17508461119404992,,,,,,,,
2,all,6,200,0.9914129944937331,0.8646820985927254,1.1252986512566516,0.04583333333333333,0.029979166666666664,0.06499999999999999,0.039021770296399055,-0.059463624342706536,0.14236183705321623,0.01,0.0012133490137360304,0.035654668397239776,0.018130459086086015,0.0,0.0,0.018275340355136237,0.0005355398122118826
10,price,1,200,1.088267935860187,0.874359149523302,1.3212431473097632,0.06,0.03,0.095,-0.043250212349702846,-0.19046998779666602,0.09707291700041716,,,,,,,,
10,delta,10,200,1.043893379861228,0.8766428771363136,1.2332881532261344,0.035,0.014875000000000006,0.06012499999999932,0.030002898630375866,-0.11303679566627285,0.16336380765873507,,,,,,,,
10,vega,10,200,1.035446803887071,0.9331775761137855,1.1420533217643596,0.0495,0.037000000000000005,0.063,-0.00911397888872047,-0.032992801155467356,0.014160377056949622,,,,,,,,
10,corr,45,200,0.9931751499338097,0.9239263941413635,1.0664674670614391,0.045,0.03644444444444444,0.05466666666666667,0.02099755161498817,-0.03401791530274022,0.0712907481826594,,,,,,,,
10,all,66,200,1.0087053260661305,0.9428074169385892,1.0762315557910054,0.044393939393939395,0.03606060606060606,0.053484848484848475,0.016826194056686644,-0.03739533011832958,0.06650521355636585,0.085,0.05029591863025728,0.13260516582955234,0.18230439144141042,0.0,0.0,0.018275340355136237,0.005875189091301247
50,price,1,200,0.993915552191045,0.8197191591437782,1.1870641626498868,0.045,0.02,0.075,-0.011990971473330836,-0.1454424145861564,0.12754671475127072,,,,,,,,
50,delta,50,200,1.1711687606863008,0.9896313710344602,1.3672836600662888,0.055,0.025,0.09,-0.03610027499557984,-0.1856004671411558,0.11925003404718833,,,,,,,,
50,vega,50,200,0.969243677507166,0.9086824192643226,1.0387948331955654,0.040999999999999995,0.03469749999999999,0.04820249999999999,0.0038733445761314727,-0.018456724482056094,0.026082360799609232,,,,,,,,
50,corr,1225,200,1.0304101967405956,0.9976730630839112,1.0627543362159746,0.04985306122448979,0.04574244897959184,0.05401673469387754,0.0006776295413507155,-0.01674208809641295,0.018557896733410705,,,,,,,,
50,all,1326,200,1.0333838827067074,1.0015495566608899,1.0643916119241323,0.049709653092006034,0.04564470211161388,0.05370314856711916,-0.0005982211947896903,-0.018235758268108596,0.017650750653873233,0.435,0.36521706916965174,0.5067387921875272,0.9824657539997773,0.025,0.008166166190842513,0.05737435112684586,0.11164691923001768
